"동별(1)",동별(2),2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01,2022. 01
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73541,37955,14537,10401,7939,2041,481,125,40,12,10
"종로구",사직동,4681,2343,957,694,520,114,32,17,1,-,3
"종로구",삼청동,1232,629,255,159,130,38,16,5,-,-,-
"종로구",부암동,4266,1687,995,766,595,169,38,10,2,2,2
"종로구",평창동,7497,2446,1832,1491,1272,339,80,19,13,4,1
"종로구",무악동,3076,710,720,738,701,171,25,9,-,1,1
"종로구",교남동,4450,1653,1065,913,645,132,31,7,2,2,-
"종로구",가회동,1994,954,431,311,211,59,21,4,2,-,1
"종로구",종로1.2.3.4가동,5258,4195,528,285,181,48,14,5,2,-,-
"종로구",종로5.6가동,3379,2412,503,255,165,36,7,1,-,-,-
"종로구",이화동,4311,2753,734,435,290,72,17,7,2,1,-
"종로구",창신1동,2844,1713,565,306,180,60,16,4,-,-,-
"종로구",창신2동,4048,2007,957,539,399,115,25,4,2,-,-
"종로구",창신3동,2798,932,710,599,407,125,22,1,2,-,-
"종로구",숭인1동,2983,1473,686,419,307,76,19,2,1,-,-
"종로구",숭인2동,6319,4452,948,480,342,79,13,5,-,-,-
"종로구",청운효자동,5234,2008,1171,996,786,208,47,9,7,2,-
"종로구",혜화동,9171,5588,1480,1015,808,200,58,16,4,-,2
"중구",소계,63520,32832,13856,8837,6043,1442,372,91,24,6,17
"중구",소공동,1302,795,236,176,75,13,3,2,1,-,1
"중구",회현동,2743,1696,464,289,217,54,12,9,1,1,-
"중구",명동,1544,1084,225,127,77,19,4,3,2,-,3
"중구",필동,2464,1641,402,230,138,42,9,-,1,-,1
"중구",장충동,2744,1800,443,240,183,54,18,2,1,1,2
"중구",광희동,3392,2350,538,294,146,43,18,1,1,-,1
"중구",을지로동,1346,1099,155,51,28,10,2,1,-,-,-
"중구",신당5동,5385,2755,1205,742,517,130,27,5,3,1,-
"중구",황학동,7101,4028,1528,876,523,109,26,9,-,1,1
"중구",중림동,5659,2446,1287,1005,721,154,35,11,-,-,-
"중구",신당동,4741,3071,880,431,265,69,18,5,2,-,-
"중구",다산동,6898,3253,1681,1016,731,167,35,10,3,-,2
"중구",약수동,7828,3123,2145,1394,887,197,65,11,2,-,4
"중구",청구동,6296,2527,1623,1100,799,184,51,6,3,2,1
"중구",동화동,4077,1164,1044,866,736,197,49,16,4,-,1
"용산구",소계,111010,54283,23863,16644,12308,2935,713,176,53,16,19
"용산구",후암동,8469,4232,1818,1260,862,223,46,16,6,2,4
"용산구",용산2가동,5258,2903,1194,650,382,103,19,7,-,-,-
"용산구",남영동,5194,3990,619,301,221,38,16,7,1,-,1
"용산구",원효로2동,6006,2274,1365,1151,931,201,61,14,4,1,4
"용산구",효창동,4369,1617,1051,818,657,168,42,11,2,2,1
"용산구",용문동,5381,2092,1326,1033,720,158,38,9,3,2,-
"용산구",이촌1동,9544,2081,2261,2409,2166,472,111,30,10,3,1
"용산구",이촌2동,3684,1318,1010,721,469,123,31,9,3,-,-
"용산구",이태원1동,3615,2080,766,436,250,58,21,3,1,-,-
"용산구",이태원2동,4912,2678,1105,628,358,104,31,5,1,1,1
"용산구",서빙고동,5312,1802,1186,931,1009,310,62,11,1,-,-
"용산구",보광동,7422,4063,1664,949,573,135,32,3,3,-,-
"용산구",청파동,11086,6776,2061,1148,819,216,47,13,1,1,4
"용산구",원효로1동,8129,4075,1707,1223,903,177,29,8,4,2,1
"용산구",한강로동,11697,6344,2426,1572,1072,207,55,14,6,-,1
"용산구",한남동,10932,5958,2304,1414,916,242,72,16,7,2,1
"성동구",소계,134126,57677,30242,23766,17717,3616,811,214,55,19,9
"성동구",왕십리2동,7421,2936,1721,1413,1053,212,68,12,4,1,1
"성동구",마장동,10948,5198,2382,1667,1306,294,73,15,8,3,2
