epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.1411,1.04127,2.2077,1.16089,0.91717,0.90819,0.95457,0.73332,0.74889,0.69508,0.97311,0.000151342,0.000151342,0.000151342
2,197.159,0.80472,0.87289,1.0235,0.93609,0.93011,0.96791,0.75954,0.70649,0.59768,0.94872,0.000293009,0.000293009,0.000293009
3,294.494,0.76689,0.72255,1.00342,0.95571,0.94583,0.97698,0.77879,0.6759,0.53181,0.93936,0.000424667,0.000424667,0.000424667
4,391.479,0.74525,0.63692,0.99334,0.95589,0.95127,0.98114,0.79749,0.64344,0.48641,0.93579,0.000409955,0.000409955,0.000409955
5,488.394,0.72951,0.58848,0.98745,0.96321,0.95772,0.98273,0.80053,0.65041,0.4603,0.92719,0.00039494,0.00039494,0.00039494
6,585.373,0.71489,0.54734,0.9789,0.96592,0.96348,0.98508,0.81254,0.6302,0.43518,0.91921,0.000379925,0.000379925,0.000379925
7,682.278,0.70717,0.52716,0.97593,0.96976,0.96345,0.98618,0.8171,0.62598,0.41836,0.9184,0.00036491,0.00036491,0.00036491
8,778.901,0.69953,0.50293,0.97214,0.96985,0.96875,0.98604,0.82394,0.6101,0.40509,0.91096,0.000349895,0.000349895,0.000349895
9,875.731,0.69272,0.49267,0.96976,0.96968,0.96708,0.98681,0.82588,0.60507,0.39908,0.91354,0.00033488,0.00033488,0.00033488
10,972.658,0.68883,0.47888,0.96829,0.96884,0.97046,0.98715,0.83312,0.59421,0.38475,0.90829,0.000319865,0.000319865,0.000319865
11,1069.62,0.68317,0.46916,0.96341,0.97311,0.97126,0.98793,0.8344,0.59463,0.3771,0.90555,0.00030485,0.00030485,0.00030485
12,1166.48,0.67696,0.45927,0.9607,0.97196,0.97134,0.98817,0.83544,0.60045,0.37665,0.90723,0.000289835,0.000289835,0.000289835
13,1263.3,0.67408,0.45366,0.96148,0.97263,0.96979,0.98774,0.83427,0.59742,0.37227,0.90479,0.00027482,0.00027482,0.00027482
14,1360.17,0.6676,0.44619,0.95821,0.97305,0.97338,0.98899,0.8396,0.58965,0.36194,0.90227,0.000259805,0.000259805,0.000259805
15,1456.9,0.66531,0.44041,0.9561,0.97565,0.97326,0.98875,0.84234,0.58773,0.3568,0.90107,0.00024479,0.00024479,0.00024479
16,1553.72,0.66134,0.43505,0.95485,0.9737,0.97329,0.98859,0.84216,0.58113,0.35605,0.90224,0.000229775,0.000229775,0.000229775
17,1650.22,0.65551,0.42821,0.95259,0.97485,0.97466,0.98915,0.84416,0.58253,0.34839,0.89886,0.00021476,0.00021476,0.00021476
18,1747.05,0.65598,0.42315,0.9511,0.97733,0.97654,0.98955,0.84839,0.57357,0.34119,0.89369,0.000199745,0.000199745,0.000199745
19,1843.71,0.65184,0.41916,0.95187,0.97736,0.97495,0.9893,0.84835,0.57418,0.33924,0.89331,0.00018473,0.00018473,0.00018473
20,1940.31,0.64703,0.41602,0.94914,0.97677,0.97614,0.98951,0.84961,0.57361,0.33671,0.89391,0.000169715,0.000169715,0.000169715
21,2029.27,0.60829,0.35707,0.90798,0.97871,0.97586,0.98958,0.84864,0.57497,0.33573,0.89214,0.0001547,0.0001547,0.0001547
22,2117.68,0.60331,0.35136,0.90512,0.97761,0.97722,0.98971,0.85181,0.56804,0.33123,0.89203,0.000139685,0.000139685,0.000139685
23,2206.01,0.60046,0.3467,0.90433,0.97809,0.97787,0.98985,0.85386,0.56706,0.328,0.88936,0.00012467,0.00012467,0.00012467
24,2294.34,0.59688,0.34152,0.90231,0.97854,0.97953,0.99012,0.85591,0.5609,0.3208,0.88515,0.000109655,0.000109655,0.000109655
25,2382.74,0.59235,0.33805,0.89852,0.9795,0.98036,0.99013,0.85477,0.56639,0.32115,0.88585,9.464e-05,9.464e-05,9.464e-05
26,2471.15,0.59043,0.33403,0.89743,0.98011,0.98011,0.98998,0.85626,0.56438,0.31852,0.88618,7.9625e-05,7.9625e-05,7.9625e-05
27,2559.5,0.58687,0.3302,0.89527,0.98042,0.97948,0.99026,0.85632,0.56157,0.31755,0.88472,6.461e-05,6.461e-05,6.461e-05
28,2647.8,0.58166,0.32577,0.89297,0.98089,0.981,0.99029,0.85834,0.55765,0.31296,0.88273,4.9595e-05,4.9595e-05,4.9595e-05
29,2736.21,0.57942,0.32362,0.89199,0.97966,0.98139,0.99014,0.85772,0.55991,0.31268,0.88395,3.458e-05,3.458e-05,3.458e-05
30,2824.47,0.57752,0.32186,0.89125,0.98091,0.98044,0.99025,0.85746,0.56082,0.31286,0.88455,1.9565e-05,1.9565e-05,1.9565e-05
