epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8579,0.93761,2.15643,1.25816,0.8448,0.80656,0.87002,0.7114,0.70596,0.81548,1.05109,0.000174976,0.000174976,0.000174976
2,192.423,0.76369,0.98647,1.1278,0.88996,0.8584,0.91945,0.76909,0.66699,0.69932,1.02595,0.000338749,0.000338749,0.000338749
3,308.793,0.73362,0.83181,1.10782,0.91104,0.88916,0.94408,0.80775,0.6001,0.57119,0.98127,0.00049095,0.00049095,0.00049095
4,403.846,0.7194,0.75668,1.10033,0.92356,0.90202,0.95222,0.81458,0.59907,0.53427,0.98477,0.000473926,0.000473926,0.000473926
5,498.828,0.69815,0.69232,1.08779,0.93111,0.91571,0.95972,0.8289,0.58527,0.49853,0.96299,0.000456568,0.000456568,0.000456568
6,593.728,0.67958,0.64792,1.07445,0.92262,0.90672,0.95355,0.82264,0.59195,0.5053,0.96902,0.00043921,0.00043921,0.00043921
7,688.375,0.66833,0.62184,1.06579,0.94021,0.92909,0.96658,0.84859,0.54317,0.43778,0.94474,0.000421852,0.000421852,0.000421852
8,782.994,0.65814,0.60199,1.06073,0.94306,0.93235,0.96875,0.84851,0.56671,0.43368,0.93913,0.000404494,0.000404494,0.000404494
9,877.437,0.64858,0.58332,1.05311,0.93793,0.92885,0.96545,0.84612,0.55524,0.43331,0.94247,0.000387136,0.000387136,0.000387136
10,971.709,0.63785,0.56252,1.04734,0.9442,0.93334,0.97007,0.8562,0.52815,0.4044,0.93346,0.000369778,0.000369778,0.000369778
11,1065.76,0.63297,0.55232,1.04263,0.94833,0.92718,0.96876,0.85371,0.54072,0.41467,0.93541,0.00035242,0.00035242,0.00035242
12,1159.95,0.62916,0.53904,1.03827,0.94747,0.93159,0.97065,0.85188,0.5721,0.41275,0.93782,0.000335062,0.000335062,0.000335062
13,1254.7,0.62237,0.5296,1.03656,0.94725,0.93449,0.97086,0.8589,0.55332,0.39571,0.9256,0.000317704,0.000317704,0.000317704
14,1349.82,0.62227,0.52493,1.03548,0.95003,0.93938,0.9736,0.86118,0.55474,0.3867,0.92397,0.000300346,0.000300346,0.000300346
15,1444.91,0.61275,0.51131,1.02999,0.9528,0.94294,0.9756,0.87562,0.5099,0.36612,0.91166,0.000282988,0.000282988,0.000282988
16,1540.02,0.61096,0.50621,1.02817,0.94782,0.93741,0.97231,0.86305,0.53973,0.3822,0.92355,0.00026563,0.00026563,0.00026563
17,1635.02,0.60806,0.49944,1.02651,0.95187,0.94614,0.97602,0.87937,0.49572,0.35254,0.90583,0.000248272,0.000248272,0.000248272
18,1730.12,0.60272,0.49134,1.02351,0.95642,0.94901,0.97807,0.88194,0.49259,0.34676,0.90317,0.000230914,0.000230914,0.000230914
19,1824.99,0.59767,0.48599,1.02116,0.95793,0.9487,0.97823,0.88367,0.48899,0.3422,0.89965,0.000213556,0.000213556,0.000213556
20,1920.05,0.59607,0.48122,1.02036,0.95618,0.94564,0.97714,0.87506,0.52622,0.35714,0.90938,0.000196198,0.000196198,0.000196198
21,2009.66,0.55868,0.40618,0.97561,0.95724,0.95424,0.97979,0.88672,0.47949,0.33298,0.89615,0.00017884,0.00017884,0.00017884
22,2098.74,0.54921,0.39329,0.96812,0.95973,0.95183,0.97986,0.88973,0.48318,0.3277,0.89332,0.000161482,0.000161482,0.000161482
23,2187.92,0.54495,0.38564,0.96681,0.96137,0.95441,0.98087,0.89246,0.47572,0.32261,0.89159,0.000144124,0.000144124,0.000144124
24,2276.95,0.54354,0.38104,0.96333,0.96387,0.95552,0.9818,0.894,0.47503,0.31823,0.88986,0.000126766,0.000126766,0.000126766
25,2365.99,0.53888,0.37542,0.96094,0.96471,0.95793,0.98206,0.89459,0.47291,0.31352,0.88835,0.000109408,0.000109408,0.000109408
26,2454.93,0.53085,0.36659,0.95598,0.96184,0.95841,0.98223,0.8964,0.4704,0.31021,0.88636,9.205e-05,9.205e-05,9.205e-05
27,2543.66,0.52765,0.36278,0.95485,0.96139,0.95967,0.9824,0.89678,0.4731,0.30979,0.88478,7.4692e-05,7.4692e-05,7.4692e-05
28,2632.59,0.52545,0.35655,0.9523,0.96367,0.9543,0.98139,0.89093,0.49888,0.31878,0.8913,5.7334e-05,5.7334e-05,5.7334e-05
29,2721.47,0.52193,0.35241,0.95001,0.96417,0.95826,0.98198,0.89566,0.47873,0.30964,0.88444,3.9976e-05,3.9976e-05,3.9976e-05
30,2810.49,0.51924,0.34791,0.94753,0.96523,0.95844,0.98262,0.89675,0.47801,0.3073,0.88329,2.2618e-05,2.2618e-05,2.2618e-05
