epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3984,1.00721,2.11886,1.12152,0.92327,0.91377,0.95665,0.74799,0.71574,0.66351,0.94031,0.000151342,0.000151342,0.000151342
2,197.217,0.77879,0.82596,0.99334,0.94195,0.93452,0.97188,0.78072,0.66744,0.57074,0.92668,0.000293009,0.000293009,0.000293009
3,294.714,0.75094,0.69485,0.98135,0.95332,0.95314,0.97739,0.78656,0.66697,0.50843,0.91915,0.000424667,0.000424667,0.000424667
4,392.025,0.73316,0.61388,0.97459,0.95903,0.95581,0.98093,0.79704,0.655,0.47389,0.91299,0.000409955,0.000409955,0.000409955
5,488.882,0.71645,0.55961,0.96537,0.95719,0.96321,0.9817,0.80147,0.64876,0.44093,0.90912,0.00039494,0.00039494,0.00039494
6,585.89,0.70492,0.52429,0.96065,0.96819,0.96482,0.98505,0.81721,0.6242,0.41825,0.90347,0.000379925,0.000379925,0.000379925
7,682.855,0.6952,0.50196,0.95679,0.9693,0.96841,0.98669,0.82554,0.60304,0.39813,0.89776,0.00036491,0.00036491,0.00036491
8,779.817,0.69021,0.48675,0.95695,0.96979,0.96914,0.98635,0.8255,0.60879,0.39078,0.89957,0.000349895,0.000349895,0.000349895
9,877.508,0.68149,0.47233,0.95227,0.96984,0.97021,0.9867,0.83034,0.59632,0.37791,0.89605,0.00033488,0.00033488,0.00033488
10,974.808,0.67698,0.46223,0.95056,0.97011,0.97125,0.98693,0.82879,0.61548,0.37557,0.89417,0.000319865,0.000319865,0.000319865
11,1072.07,0.67435,0.45054,0.94907,0.97447,0.96908,0.98817,0.83427,0.60396,0.37052,0.89779,0.00030485,0.00030485,0.00030485
12,1169.08,0.6715,0.44253,0.94502,0.9726,0.97133,0.98805,0.83655,0.59317,0.36485,0.89158,0.000289835,0.000289835,0.000289835
13,1266.09,0.66657,0.43568,0.94496,0.97529,0.97142,0.98814,0.83765,0.59451,0.35932,0.89208,0.00027482,0.00027482,0.00027482
14,1363.12,0.65988,0.42858,0.94262,0.9744,0.97344,0.98851,0.84218,0.58507,0.35335,0.88824,0.000259805,0.000259805,0.000259805
15,1460.08,0.66028,0.42686,0.94229,0.97432,0.97463,0.98893,0.84487,0.57943,0.34398,0.88731,0.00024479,0.00024479,0.00024479
16,1557.06,0.65602,0.41864,0.94076,0.97551,0.97606,0.98949,0.84653,0.57852,0.33957,0.8871,0.000229775,0.000229775,0.000229775
17,1653.85,0.65358,0.41518,0.94046,0.97616,0.97535,0.98928,0.84383,0.58384,0.3403,0.8867,0.00021476,0.00021476,0.00021476
18,1750.96,0.64998,0.4082,0.93777,0.9766,0.97646,0.9894,0.84947,0.57437,0.33466,0.8828,0.000199745,0.000199745,0.000199745
19,1847.97,0.64486,0.40578,0.93584,0.9768,0.97694,0.98974,0.84956,0.56949,0.33023,0.88324,0.00018473,0.00018473,0.00018473
20,1945.07,0.64169,0.40008,0.93559,0.97884,0.97578,0.98985,0.85294,0.56765,0.3263,0.87895,0.000169715,0.000169715,0.000169715
21,2034.12,0.60638,0.34756,0.89948,0.97943,0.97757,0.99024,0.85448,0.56277,0.32137,0.87814,0.0001547,0.0001547,0.0001547
22,2122.6,0.60333,0.34132,0.89717,0.97777,0.97863,0.99029,0.85498,0.56446,0.31932,0.87705,0.000139685,0.000139685,0.000139685
23,2211.04,0.59893,0.33672,0.89575,0.97764,0.97655,0.98954,0.85039,0.5725,0.32258,0.8778,0.00012467,0.00012467,0.00012467
24,2299.52,0.59529,0.3325,0.89258,0.97772,0.97839,0.99019,0.85557,0.56347,0.31592,0.87692,0.000109655,0.000109655,0.000109655
25,2388.01,0.59267,0.32937,0.89176,0.98057,0.97814,0.99077,0.85791,0.56026,0.31199,0.87485,9.464e-05,9.464e-05,9.464e-05
26,2476.44,0.58897,0.3254,0.88934,0.97854,0.97821,0.99048,0.85701,0.56122,0.31098,0.87501,7.9625e-05,7.9625e-05,7.9625e-05
27,2564.9,0.58582,0.3208,0.88823,0.97934,0.98166,0.99078,0.85989,0.55441,0.3069,0.87346,6.461e-05,6.461e-05,6.461e-05
28,2653.37,0.58241,0.31735,0.88697,0.98061,0.97864,0.99048,0.85888,0.55698,0.30765,0.8734,4.9595e-05,4.9595e-05,4.9595e-05
29,2741.75,0.57995,0.3145,0.88574,0.97937,0.98019,0.99084,0.86022,0.55488,0.3048,0.87158,3.458e-05,3.458e-05,3.458e-05
30,2830.06,0.57693,0.3119,0.88337,0.97835,0.98041,0.99054,0.85892,0.55695,0.3055,0.87269,1.9565e-05,1.9565e-05,1.9565e-05
