epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.831,0.97568,2.0943,1.23937,0.85289,0.82568,0.89821,0.68827,0.76169,0.80458,1.055,0.000184955,0.000184955,0.000184955
2,210.373,0.81752,0.94837,1.12119,0.87492,0.84294,0.91294,0.69447,0.762,0.73286,1.0523,0.000358069,0.000358069,0.000358069
3,306.393,0.79017,0.80232,1.10283,0.91627,0.88613,0.94866,0.74034,0.75404,0.63328,1.02658,0.000518951,0.000518951,0.000518951
4,402.581,0.77537,0.71663,1.09275,0.92453,0.90719,0.95897,0.77324,0.6738,0.53978,1.00518,0.000500956,0.000500956,0.000500956
5,498.68,0.75232,0.64999,1.07852,0.92733,0.91523,0.96183,0.78382,0.6559,0.50565,0.99329,0.000482608,0.000482608,0.000482608
6,594.245,0.74285,0.61154,1.07269,0.93821,0.92443,0.96745,0.79092,0.66601,0.4796,0.99149,0.00046426,0.00046426,0.00046426
7,690.832,0.73089,0.58817,1.06451,0.94297,0.92607,0.97099,0.80263,0.62998,0.45255,0.98118,0.000445912,0.000445912,0.000445912
8,786.508,0.72352,0.56915,1.06222,0.94903,0.92115,0.9716,0.80262,0.64517,0.44838,0.98652,0.000427564,0.000427564,0.000427564
9,882.529,0.71847,0.55373,1.05791,0.94721,0.93715,0.97463,0.81632,0.61826,0.4223,0.96668,0.000409216,0.000409216,0.000409216
10,978.116,0.7103,0.54321,1.05454,0.95179,0.93803,0.97576,0.81798,0.62292,0.41506,0.9647,0.000390868,0.000390868,0.000390868
11,1084.48,0.70622,0.53321,1.05019,0.95062,0.94225,0.97787,0.82304,0.6199,0.40692,0.96181,0.00037252,0.00037252,0.00037252
12,1180.5,0.7005,0.52042,1.04416,0.95785,0.942,0.97847,0.82942,0.60827,0.39688,0.95136,0.000354172,0.000354172,0.000354172
13,1276.53,0.69479,0.51451,1.04016,0.95665,0.94126,0.9787,0.83131,0.59555,0.39027,0.94654,0.000335824,0.000335824,0.000335824
14,1372.31,0.68964,0.50367,1.03571,0.95782,0.93931,0.97806,0.82435,0.628,0.39353,0.94934,0.000317476,0.000317476,0.000317476
15,1468.47,0.68849,0.49472,1.03424,0.95727,0.94672,0.97975,0.83561,0.5967,0.37031,0.94245,0.000299128,0.000299128,0.000299128
16,1564.05,0.68357,0.48703,1.03186,0.96085,0.94538,0.98113,0.83668,0.58809,0.36614,0.93961,0.00028078,0.00028078,0.00028078
17,1660.3,0.67631,0.47788,1.02739,0.96098,0.94785,0.98121,0.83759,0.5916,0.36443,0.93893,0.000262432,0.000262432,0.000262432
18,1755.96,0.67375,0.47055,1.02572,0.96065,0.94802,0.98078,0.8381,0.59145,0.35926,0.93942,0.000244084,0.000244084,0.000244084
19,1852.13,0.67202,0.46555,1.02348,0.96151,0.95258,0.98291,0.84355,0.58671,0.35269,0.93267,0.000225736,0.000225736,0.000225736
20,1948.33,0.66542,0.457,1.01961,0.96232,0.95425,0.98273,0.84742,0.57771,0.34608,0.92847,0.000207388,0.000207388,0.000207388
21,2038.15,0.64097,0.40222,0.98091,0.96653,0.95195,0.98359,0.84771,0.58254,0.34427,0.92714,0.00018904,0.00018904,0.00018904
22,2127.88,0.63591,0.38985,0.97567,0.9665,0.95618,0.98396,0.85124,0.58335,0.33833,0.92348,0.000170692,0.000170692,0.000170692
23,2217.83,0.63106,0.38229,0.97145,0.96878,0.95683,0.98437,0.85412,0.57326,0.33203,0.92199,0.000152344,0.000152344,0.000152344
24,2307.59,0.62468,0.37636,0.96766,0.96678,0.95739,0.98411,0.85405,0.57403,0.3314,0.9209,0.000133996,0.000133996,0.000133996
25,2396.89,0.62133,0.37226,0.96427,0.96661,0.95938,0.98432,0.85595,0.57541,0.32985,0.92093,0.000115648,0.000115648,0.000115648
26,2486.25,0.61746,0.36506,0.96035,0.96691,0.96075,0.98464,0.85586,0.57197,0.32717,0.91586,9.73e-05,9.73e-05,9.73e-05
27,2576.57,0.61259,0.36035,0.95855,0.96792,0.96272,0.98545,0.85888,0.56905,0.32231,0.91643,7.8952e-05,7.8952e-05,7.8952e-05
28,2667.83,0.61053,0.35623,0.95788,0.96949,0.96051,0.98505,0.85892,0.56649,0.32027,0.91485,6.0604e-05,6.0604e-05,6.0604e-05
29,2759.06,0.60488,0.35132,0.95409,0.96998,0.9631,0.98562,0.8604,0.56547,0.31625,0.91415,4.2256e-05,4.2256e-05,4.2256e-05
30,2849.07,0.60111,0.34594,0.95092,0.97127,0.96156,0.98537,0.86145,0.56491,0.31506,0.91186,2.3908e-05,2.3908e-05,2.3908e-05
