시도,시군구,레벨01,항목,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
경기,수원시 장안구,계,면적,33343598.7,33343740.7,33343560.7,33349467.5,33341117,33342316.9,33342288.9,33342085.1,33343885.7,33342057.7
경기,수원시 장안구,전,면적,1562727.8,1554203.8,1546961.8,1548736.6,1582394.6,1577961.5,1595157.5,1597702.3,1602760.4,1599677.7
경기,수원시 장안구,답,면적,1173381.4,1161807.4,1153978.4,1134930.8,1095798.8,1062849.8,1042166.8,1019606.8,1006166.9,988801.4
경기,수원시 장안구,묘지,면적,46457,46457,46188,46052,46052,44155,44074,44074,43806,41349
경기,수원시 권선구,계,면적,47170567.7,47173330.2,47173414,47169074.4,47166542.9,47170329.7,47182349.6,47179157.1,47180198.5,47179838
경기,수원시 권선구,전,면적,5109012.7,5145112.1,5212974.5,4999380,5088283,5122691,5132809.9,5183788.6,5182126.2,5170542.1
경기,수원시 권선구,답,면적,9079686.4,8844874.4,8436678.4,7943269.3,7759752.3,7541040.3,7242188.9,7060010.9,6817479.4,6703237.1
경기,수원시 권선구,묘지,면적,29493,29493,28603,28381,28381,24077,24077,23939,23542.5,23542.5
경기,수원시 팔달구,계,면적,12856750.1,12856750.1,12856753.1,12856852.1,12856188.9,12856109.3,12856138.3,12856945.3,12860370.6,12865087.2
경기,수원시 팔달구,전,면적,354146,346857,346695,345361,342242,341657,341467,338881.6,330754.7,323430.5
경기,수원시 팔달구,답,면적,290364.7,287394.7,287377.7,287377.7,282339.7,282255.7,281728.7,281669.7,222162.8,220716.8
경기,수원시 팔달구,묘지,면적,14054,14054,14054,14054,14054,14054,14054,14054,14054,14002
경기,수원시 영통구,계,면적,27677052.3,27677136,27680407.4,27678981.4,27677699.7,27723420.5,27710901.6,27711524.8,27714465.1,27712882.2
경기,수원시 영통구,전,면적,809324.8,769530.8,740078.4,709282.4,623736,583656.4,572666.4,566324.4,535591.7,506788.6
경기,수원시 영통구,답,면적,1300789.8,1161392.8,1157877.2,995630.2,938624.2,724075.9,652693.9,625875.4,471798.8,434150.1
경기,수원시 영통구,묘지,면적,57565,57565,57127,50669,50668,50638,50638,50638,50638,53323
경기,성남시 수정구,계,면적,45511001.6,45476842.8,45477149.6,45474104,45456469.7,45455655.7,45458273.6,45453255.5,45452706.7,45453013.6
경기,성남시 수정구,전,면적,3378530,3365771.2,3189267.2,3191972,2775369,2760456.9,2568357,2599937.1,2562182.1,2558790.4
경기,성남시 수정구,답,면적,2496047.5,2484646.5,2376438.5,2360566.4,2011994.4,2005358.9,1908960.8,1901940.7,1840871.7,1831456.7
경기,성남시 수정구,묘지,면적,61856,61856,61463,60091,58508,58508,58508,54065,54065,54065
경기,성남시 중원구,계,면적,26411920.1,26413429.8,26412456.2,26414921.3,26413306.7,26411562.2,26411556.5,26412622.5,26412709.5,26416623.4
경기,성남시 중원구,전,면적,715108,715361,713644,662161.5,615031.5,613677.4,613499.3,586138.9,585942.2,584759.3
경기,성남시 중원구,답,면적,1124880,1124554.5,1121226.5,1057412.4,968794.7,968391.3,967815.3,906229.4,901808.4,901508.4
경기,성남시 중원구,묘지,면적,46027,46027,46027,46027,46027,46027,46027,45403,45403,45403
경기,성남시 분당구,계,면적,69771628.3,69774420.8,69774942.8,69770138.6,69768438.9,69765851.9,69762324.9,69759501.1,69760444.9,69760640.8
경기,성남시 분당구,전,면적,1799805,1891762,1890482,1887573,1882692,1858442,1856874.4,1856596.3,1848670.7,1836749.5
경기,성남시 분당구,답,면적,1766361,1651160,1633817,1624286.5,1598089.5,1583593.2,1571255.7,1550134.9,1533604.7,1524278.7
경기,성남시 분당구,묘지,면적,562288.3,562288.3,650526.3,657576.3,658526.3,664719.3,661403.3,661403.3,646046,648380
